ID,Activity_Count,Suspicious_Activity,Last_Activity_Timestamp,Browser,Number_of_Downloads,Email_Sent
21,7,False,2010-06-27 00:27:56,Opera/8.93.(X11; Linux x86_64; szl-PL) Presto/2.9.182 Version/11.00,6,2
22,17,False,2018-03-07 01:43:57,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.11.1 (KHTML, like Gecko) Version/4.1 Safari/534.11.1",10,0
23,73,True,2023-06-19 09:24:50,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/532.1.6 (KHTML, like Gecko) Version/5.0.5 Safari/532.1.6",5,4
24,32,True,2014-08-23 19:32:53,Mozilla/5.0 (Android 7.1.2; Mobile; rv:25.0) Gecko/25.0 Firefox/25.0,4,3
25,72,True,2011-12-24 07:27:46,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/535.6.7 (KHTML, like Gecko) Version/5.1 Safari/535.6.7",7,5
26,16,True,2021-08-30 13:09:51,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/3452-08-12 21:45:30 Firefox/3.6.7,3,1
27,2,False,2012-01-27 05:15:20,Opera/9.13.(Windows NT 6.1; da-DK) Presto/2.9.162 Version/11.00,7,3
28,58,False,2013-01-17 12:34:55,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.4.7 (KHTML, like Gecko) Version/4.0.1 Safari/534.4.7",4,4
29,5,True,2010-12-07 19:14:21,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/535.35.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6535.35.3",4,5
30,90,False,2020-08-26 05:21:10,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8 rv:2.0; pa-IN) AppleWebKit/534.35.6 (KHTML, like Gecko) Version/5.0 Safari/534.35.6",4,4
31,82,False,2020-08-28 15:14:14,"Mozilla/5.0 (Windows CE) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/31.0.809.0 Safari/532.0",1,3
32,53,True,2017-04-17 22:37:06,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/15.0.820.0 Safari/532.2",3,4
33,16,True,2018-03-08 04:50:49,Opera/9.21.(Windows NT 10.0; xh-ZA) Presto/2.9.172 Version/12.00,7,5
34,58,False,2019-04-15 10:53:11,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.0),5,2
35,57,True,2012-12-10 07:57:03,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/16.0.893.0 Safari/536.0",8,3
36,96,True,2010-12-13 15:50:26,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/14.0.849.0 Mobile/11E930 Safari/531.0",6,0
37,64,True,2015-11-03 01:00:12,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),3,3
38,49,False,2014-04-17 21:56:10,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.0),9,2
39,57,True,2012-04-27 16:43:44,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/10.3s6173.0 Mobile/85B013 Safari/532.0",9,2
40,72,False,2013-01-31 08:47:10,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; gl-ES) AppleWebKit/533.10.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6533.10.6",1,3
41,84,False,2021-12-08 18:22:12,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.1),1,1
42,57,True,2014-11-23 14:25:09,Mozilla/5.0 (Android 3.2.2; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0,5,0
43,100,True,2013-08-09 01:01:11,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/59.0.895.0 Safari/533.1",9,0
44,100,False,2020-03-14 17:53:14,Mozilla/5.0 (Android 7.1.1; Mobile; rv:8.0) Gecko/8.0 Firefox/8.0,8,4
45,36,False,2011-01-24 14:36:17,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/17.8c0882.0 Mobile/52W751 Safari/535.2",6,4
46,20,False,2014-10-30 02:00:22,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ks-IN) AppleWebKit/534.22.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6534.22.3",1,0
47,14,False,2019-11-26 16:18:41,Opera/8.59.(X11; Linux x86_64; apn-IN) Presto/2.9.174 Version/11.00,8,2
48,96,True,2011-10-02 15:55:10,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/30.0.867.0 Safari/532.2",6,3
49,45,False,2012-11-09 06:56:07,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/13.4r9917.0 Mobile/64Q108 Safari/531.1",1,2
50,65,False,2012-10-08 18:35:30,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.19.2 (KHTML, like Gecko) Version/4.0.2 Safari/534.19.2",1,3
51,76,False,2018-07-23 13:24:51,Opera/9.58.(Windows NT 6.0; as-IN) Presto/2.9.188 Version/12.00,8,0
52,99,False,2015-02-10 13:42:14,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1 rv:4.0; ti-ER) AppleWebKit/533.15.7 (KHTML, like Gecko) Version/5.0.5 Safari/533.15.7",7,4
53,8,False,2015-06-23 02:58:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_6 rv:6.0; sv-FI) AppleWebKit/533.6.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.6.3",4,0
54,68,True,2020-01-14 05:01:13,"Mozilla/5.0 (Linux; Android 8.1.0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/58.0.864.0 Safari/536.0",5,2
55,17,True,2010-12-19 18:06:04,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.0),4,4
56,65,True,2015-03-11 09:05:34,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; crh-UA) AppleWebKit/532.9.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.9.2",10,2
57,48,False,2019-01-21 02:43:47,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.1),7,2
58,58,False,2018-02-01 16:45:39,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/37.0.825.0 Safari/533.1",0,3
59,3,False,2013-09-24 06:59:15,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/9.0a4214.0 Mobile/52B027 Safari/533.0",3,1
60,86,True,2010-02-09 16:49:20,Opera/9.20.(X11; Linux i686; es-PA) Presto/2.9.182 Version/10.00,8,2
61,100,False,2012-08-15 20:12:34,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_4 rv:6.0; pa-IN) AppleWebKit/535.13.2 (KHTML, like Gecko) Version/4.0 Safari/535.13.2",7,5
62,16,False,2018-04-04 02:30:02,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.1),6,3
63,58,False,2011-11-08 20:30:32,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),2,5
64,50,True,2017-01-18 03:50:32,Opera/9.58.(Windows 98; Win 9x 4.90; om-KE) Presto/2.9.177 Version/12.00,9,1
65,100,False,2011-08-18 17:39:28,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.1),7,1
66,26,True,2020-01-03 06:49:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_8 rv:6.0; mk-MK) AppleWebKit/534.10.7 (KHTML, like Gecko) Version/5.0.2 Safari/534.10.7",3,3
67,100,True,2020-05-25 01:27:59,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/16.4i7376.0 Mobile/72W352 Safari/533.0",2,3
68,76,True,2016-06-09 19:04:50,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ps-AF) AppleWebKit/532.27.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.27.7",2,5
69,59,True,2012-01-08 10:49:50,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),0,1
70,50,False,2013-07-24 08:22:17,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.0),3,1
71,69,True,2019-05-02 11:21:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/45.0.832.0 Safari/535.1",1,3
72,97,True,2019-12-19 23:07:26,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/9876-11-13 18:36:12 Firefox/3.6.2,3,4
73,3,False,2018-04-30 09:51:01,Mozilla/5.0 (Android 6.0; Mobile; rv:17.0) Gecko/17.0 Firefox/17.0,5,5
74,54,True,2017-04-27 10:02:46,Mozilla/5.0 (Android 2.0; Mobile; rv:41.0) Gecko/41.0 Firefox/41.0,6,5
75,25,True,2011-07-15 19:20:21,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; th-TH) AppleWebKit/533.32.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6533.32.3",4,4
76,45,False,2018-04-25 20:47:46,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/5.1),10,2
77,71,True,2013-06-07 18:51:01,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/533.30.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.30.3",6,5
78,37,False,2013-12-15 14:52:56,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/3.1),10,4
79,52,True,2015-03-24 08:27:09,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.33.1 (KHTML, like Gecko) Version/4.0 Safari/535.33.1",2,1
80,82,False,2017-11-17 16:50:52,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/47.0.856.0 Mobile/11R358 Safari/535.2",5,4
81,22,False,2016-01-09 11:53:00,Mozilla/5.0 (Android 1.0; Mobile; rv:22.0) Gecko/22.0 Firefox/22.0,8,3
82,45,True,2018-09-24 11:31:42,Opera/9.94.(X11; Linux i686; nb-NO) Presto/2.9.177 Version/11.00,8,0
83,94,True,2020-10-30 14:17:47,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/42.0.835.0 Safari/535.0",0,0
84,77,True,2016-10-15 03:37:53,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/12.2e5698.0 Mobile/39Z810 Safari/534.0",3,5
85,72,False,2013-01-04 13:29:23,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.43.3 (KHTML, like Gecko) Version/4.0 Safari/532.43.3",0,2
86,43,True,2013-04-07 14:43:47,Opera/8.76.(Windows 98; sr-ME) Presto/2.9.185 Version/10.00,7,2
87,100,False,2022-02-13 04:45:25,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) FxiOS/9.1t6716.0 Mobile/05S237 Safari/536.0",6,3
88,20,True,2015-07-07 20:30:40,Opera/9.35.(X11; Linux i686; sd-PK) Presto/2.9.173 Version/12.00,5,1
89,81,True,2010-08-01 21:50:58,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; tt-RU) AppleWebKit/533.7.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.7.4",1,5
90,13,True,2019-01-04 17:53:52,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/13.5t6093.0 Mobile/87P049 Safari/533.0",3,1
91,56,False,2011-04-14 23:22:22,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9 rv:3.0; lzh-TW) AppleWebKit/534.48.6 (KHTML, like Gecko) Version/5.0 Safari/534.48.6",9,0
92,87,False,2012-07-04 17:41:05,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0 rv:3.0; bs-BA) AppleWebKit/535.14.1 (KHTML, like Gecko) Version/5.0.5 Safari/535.14.1",6,5
93,99,False,2015-09-20 00:49:58,Opera/9.20.(Windows 98; Win 9x 4.90; mn-MN) Presto/2.9.189 Version/11.00,3,5
94,4,True,2013-02-02 16:31:44,Opera/9.58.(Windows 95; bn-BD) Presto/2.9.185 Version/11.00,5,4
95,10,False,2015-02-07 15:07:33,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/3.1),4,1
96,41,False,2012-10-26 03:53:37,Opera/8.68.(Windows NT 5.1; ti-ER) Presto/2.9.165 Version/10.00,10,3
97,33,True,2023-10-16 00:03:42,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ca-AD) AppleWebKit/535.35.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6535.35.1",6,3
98,56,True,2022-01-21 15:29:15,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/5.0),0,0
99,40,False,2014-01-21 15:51:54,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.1),7,1
100,60,True,2019-12-04 15:09:57,Mozilla/5.0 (Windows 95; fi-FI; rv:1.9.2.20) Gecko/4344-02-25 00:53:39 Firefox/15.0,6,5
101,86,False,2013-04-05 01:18:08,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; fur-IT) AppleWebKit/532.6.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6532.6.2",8,5
102,74,False,2023-06-07 03:09:07,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/56.0.897.0 Mobile/46Y638 Safari/532.0",6,1
103,22,True,2017-07-05 08:29:54,Opera/8.90.(X11; Linux x86_64; ber-MA) Presto/2.9.183 Version/11.00,9,0
104,34,False,2013-11-13 04:39:02,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2457-04-12 01:37:33 Firefox/3.6.2,1,3
105,18,False,2018-09-24 10:00:57,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/531.42.1 (KHTML, like Gecko) Version/5.1 Safari/531.42.1",0,2
106,63,False,2022-12-26 10:15:19,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1),9,0
107,13,False,2015-11-19 08:15:29,"Mozilla/5.0 (Linux; Android 1.6) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/17.0.870.0 Safari/536.1",0,0
108,84,True,2020-11-27 18:34:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/57.0.863.0 Safari/531.2",1,0
109,18,False,2010-10-20 22:52:20,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/5.1),2,5
110,36,True,2018-06-09 21:00:30,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.0),3,4
111,41,True,2015-09-08 11:17:06,Mozilla/5.0 (Android 8.1.0; Mobile; rv:33.0) Gecko/33.0 Firefox/33.0,6,4
112,11,False,2021-06-23 14:05:55,Mozilla/5.0 (Android 7.1.2; Mobile; rv:8.0) Gecko/8.0 Firefox/8.0,1,4
113,21,False,2014-04-19 15:48:26,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0),5,4
114,74,True,2019-12-15 23:02:30,Opera/9.54.(X11; Linux x86_64; lij-IT) Presto/2.9.187 Version/11.00,3,5
115,23,True,2019-05-04 22:16:18,Opera/8.83.(X11; Linux i686; ja-JP) Presto/2.9.186 Version/11.00,8,0
116,20,True,2013-01-28 10:04:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5 rv:3.0; da-DK) AppleWebKit/533.14.3 (KHTML, like Gecko) Version/4.1 Safari/533.14.3",6,0
117,59,True,2011-05-08 09:09:24,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.37.2 (KHTML, like Gecko) Version/5.0.2 Safari/532.37.2",9,0
118,100,True,2010-08-15 21:53:41,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/8812-04-27 19:06:08 Firefox/3.8,2,0
119,51,True,2017-11-14 17:07:36,Opera/9.97.(Windows NT 5.1; br-FR) Presto/2.9.164 Version/11.00,10,2
120,10,True,2016-08-04 23:11:47,"Mozilla/5.0 (Linux; Android 2.3.7) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/33.0.871.0 Safari/534.1",1,1
121,79,True,2010-08-23 20:02:23,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.0),10,2
122,41,True,2021-07-21 10:49:05,Mozilla/5.0 (Android 7.1.2; Mobile; rv:20.0) Gecko/20.0 Firefox/20.0,0,2
123,91,False,2022-06-04 07:36:35,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_6 rv:6.0; mag-IN) AppleWebKit/533.8.4 (KHTML, like Gecko) Version/4.0 Safari/533.8.4",9,4
124,3,True,2021-10-14 17:42:32,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/534.46.4 (KHTML, like Gecko) Version/4.0 Safari/534.46.4",9,5
125,40,False,2010-03-15 21:39:03,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; th-TH) AppleWebKit/533.48.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.48.6",2,1
126,58,True,2011-02-17 10:33:00,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.1),4,1
127,38,True,2011-04-24 20:19:13,Opera/9.52.(Windows NT 5.1; or-IN) Presto/2.9.172 Version/11.00,5,2
128,39,True,2010-08-14 14:30:24,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.35.3 (KHTML, like Gecko) Version/5.0.3 Safari/534.35.3",1,0
129,83,False,2019-07-08 23:04:34,Opera/8.31.(X11; Linux x86_64; sa-IN) Presto/2.9.165 Version/10.00,2,2
130,61,False,2019-04-01 04:53:32,Opera/9.92.(Windows NT 4.0; ur-IN) Presto/2.9.172 Version/12.00,1,3
131,94,True,2023-03-08 19:13:28,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.38.2 (KHTML, like Gecko) Version/4.1 Safari/535.38.2",1,3
132,23,False,2017-01-08 06:46:54,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3 rv:4.0; pap-AN) AppleWebKit/535.45.5 (KHTML, like Gecko) Version/4.1 Safari/535.45.5",6,1
133,35,False,2017-11-01 10:44:13,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/47.0.822.0 Safari/536.2",9,5
134,36,False,2014-07-04 23:24:57,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1),7,4
135,35,False,2014-07-25 15:55:23,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_1 rv:5.0; hsb-DE) AppleWebKit/534.25.7 (KHTML, like Gecko) Version/5.0 Safari/534.25.7",8,0
136,72,False,2021-02-27 20:41:45,Opera/8.79.(Windows CE; ha-NG) Presto/2.9.160 Version/12.00,4,5
137,52,False,2016-01-23 00:06:46,Opera/9.46.(Windows NT 10.0; bo-CN) Presto/2.9.160 Version/11.00,0,4
138,29,False,2018-06-18 19:39:47,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.44.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.44.1",3,5
139,26,False,2015-08-20 07:02:02,Opera/9.60.(X11; Linux i686; ti-ER) Presto/2.9.162 Version/12.00,6,4
140,52,False,2016-11-10 07:44:07,Opera/9.46.(Windows 98; bg-BG) Presto/2.9.168 Version/11.00,7,3
141,94,False,2015-10-10 22:23:34,Opera/9.25.(X11; Linux i686; sl-SI) Presto/2.9.180 Version/11.00,6,5
142,85,True,2013-10-24 20:02:50,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/37.0.810.0 Safari/531.2",10,0
143,67,True,2022-06-20 17:32:35,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; oc-FR) AppleWebKit/535.18.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6535.18.6",5,5
144,60,True,2019-12-31 17:53:34,Opera/9.65.(Windows NT 10.0; li-BE) Presto/2.9.168 Version/11.00,1,1
145,59,False,2022-08-06 03:35:44,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; tr-CY) AppleWebKit/533.28.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6533.28.7",6,5
146,53,False,2015-11-21 23:46:52,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.35.7 (KHTML, like Gecko) Version/4.0 Safari/533.35.7",0,0
147,64,True,2021-03-22 00:48:37,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/6487-06-11 05:43:03 Firefox/3.6.16,1,3
148,72,True,2011-08-17 01:00:58,Opera/8.51.(X11; Linux i686; brx-IN) Presto/2.9.185 Version/12.00,1,4
149,44,False,2013-05-04 23:51:53,Opera/8.36.(Windows NT 4.0; nr-ZA) Presto/2.9.184 Version/10.00,10,2
150,59,True,2013-11-26 21:55:39,Opera/9.99.(Windows 95; be-BY) Presto/2.9.167 Version/11.00,7,0
151,18,False,2019-07-01 19:10:51,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_0; rv:1.9.3.20) Gecko/6935-08-24 04:25:10 Firefox/12.0,9,5
152,55,True,2012-03-15 00:43:05,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/3.0),8,0
153,66,False,2019-06-18 23:17:49,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.25.5 (KHTML, like Gecko) Version/5.0.3 Safari/534.25.5",10,0
154,23,True,2010-08-17 19:37:18,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; shs-CA) AppleWebKit/534.40.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.40.4",6,0
155,24,True,2016-06-08 16:08:36,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; te-IN) AppleWebKit/534.16.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6534.16.5",8,1
156,33,False,2010-01-04 03:15:07,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/26.0.859.0 Safari/536.0",0,4
157,4,False,2011-05-18 09:07:04,"Mozilla/5.0 (Linux; Android 4.2.2) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/22.0.870.0 Safari/534.2",5,0
158,46,True,2012-08-06 04:14:36,Opera/9.46.(X11; Linux x86_64; ug-CN) Presto/2.9.170 Version/11.00,4,5
159,69,True,2013-12-08 16:58:34,Opera/8.84.(Windows CE; mk-MK) Presto/2.9.189 Version/10.00,4,1
