Linked_ID,Threat_Type,Connection_Status,Severity_Level,Flagged,Payload_Data,Device_Type,Application,Notes,External_Internal_Flag,Service_Name,File_Hash,Linked_Events_ID,Data_Exfiltration_Flag,Asset_Classification,Session_ID,TTL_Value,User_Behavior_Score,Incident_Category,Cloud_Service_Info,IoC_Flag
31,Malware,Blocked,Low,FALSE,,IoT Device,Web Browser,,External,SSH,d10356d4627bb8401ace7b91c21b0a17dbcd7aa4,c6ad8c2f-afa1-4b5f-8db7-3c8949a91a52,FALSE,Non-Critical,1d93b11e-e706-4008-88ab-a42de44ecd0b,114,0.9160727879267675,Execution,GCP,FALSE
32,Insider Threat,Allowed,Low,FALSE,,Server,SSH,,Internal,SSH,0f0f1df822f62a5de576dd80073469380b00b36a,566000e8-b7a6-464c-acb9-3fbef2e67baa,FALSE,Critical,7c6419df-bcaf-490a-b719-76a86052349c,104,0.864910584,Initial Access,AWS,FALSE
33,Malware,Blocked,Medium,TRUE,,Desktop,Database,,External,HTTP,8961fb1f42c1b684acc478738cdded74f06c22e8,edbb0249-b5f3-4d6b-b164-a378277fb2be,FALSE,Critical,c6fa7877-0e5b-452f-ba17-0d08345f80ff,58,0.9922571393952196,Initial Access,Azure,FALSE
34,None,Blocked,High,FALSE,,Desktop,Database,,Internal,HTTP,eaa480a97dcc45243967eeae5494ca43633572c2,9a42db98-9435-4f55-a6bb-f87bd13dd2a5,TRUE,Important,32658b52-6084-4309-a9c4-01ba5e943e60,77,0.8374759226064213,Privilege Escalation,AWS,TRUE
35,Phishing,Allowed,Critical,FALSE,,Unknown,Unknown,,External,FTP,d5b600e12cdcec0c2d3ed827fce676b371e7b014,63539a54-6584-4f74-81e5-131fd03b3b23,FALSE,Critical,a656158d-28a0-4baf-942d-cd43bfca2d81,33,0.5022911501329659,Persistence,,TRUE
36,None,Allowed,Critical,FALSE,,Unknown,Unknown,,Internal,HTTP,f8f2eb09f1c8ff4956e756e9145b007bcb13a036,abe30159-ced5-4e80-a6de-841a17af9d60,TRUE,Non-Critical,54764cb4-0af6-40ea-978f-626e55704e17,18,0.23477024310202155,Persistence,AWS,TRUE
37,Phishing,Allowed,Medium,TRUE,,IoT Device,Mail,,External,FTP,282dc68fb5a854a388e65f42ce02e4a186c26e3b,3a51691a-62d5-40fd-915b-cdae4c30c84c,TRUE,Critical,8b9dd7b2-409c-4c30-9be4-7c224bbb08f0,21,0.6094917868885368,Privilege Escalation,Azure,TRUE
38,Ransomware,Allowed,High,FALSE,,Unknown,SSH,,Internal,SSH,ab9b4e06e4b6823646ab50e3ff9ebd156a56c1d9,73075417-2ece-4909-8bca-bd26ba2b22ae,FALSE,Critical,8b2d723f-e7f3-454a-912c-cb4ad000bb08,99,0.8533354586601858,Initial Access,GCP,TRUE
39,None,Blocked,High,TRUE,,Unknown,FTP,,Internal,FTP,0728657edf0437143ec1084fcc4c44af1208edeb,099fd4d6-2086-4ebe-9ccb-7ea4f0aaeb4b,TRUE,Non-Critical,aa096d08-5663-4f33-a8dc-6df901efcd58,25,0.9034037040729679,Initial Access,GCP,FALSE
40,None,Blocked,High,FALSE,,Desktop,Unknown,,Internal,FTP,3818f928dde826fe1f144d3408608b322c45d7fa,e1d8adf9-5461-48f8-a59e-845e6f5e36ac,TRUE,Important,f0c896b2-653c-4e73-a254-474ca36e58c9,20,0.14075701500588267,Execution,,FALSE
41,Malware,Blocked,Critical,TRUE,,IoT Device,Database,,Internal,FTP,a655560104f7cbfe171af25e0dbe826cfe994ac3,28b08f14-8c1d-46ee-a868-75fe8ec9f3fb,TRUE,Non-Critical,b244f5d7-d257-478e-b6cf-459018011a9f,17,0.6354039223779391,Privilege Escalation,GCP,FALSE
42,Insider Threat,Allowed,Medium,FALSE,,Unknown,Web Browser,,Internal,FTP,69ddf225b9810e59c85e0c945e659b21897ad7f8,26377695-a55f-466a-b094-8785be63f493,FALSE,Important,d9646d4d-da13-41e7-b435-ba98377ac35b,9,0.6902806637475636,Execution,AWS,FALSE
43,Insider Threat,Blocked,Low,TRUE,,Desktop,FTP,,External,SSH,e4cd4fb97ab8bf2863f35de54403369f24edd1d0,592303d7-c6b2-46ce-8bcb-3c6f6c89c655,TRUE,Critical,8312c577-f631-467e-984a-ed7a45fcb6d8,54,0.5863830835815619,Execution,Azure,FALSE
44,Exploit,Allowed,Low,TRUE,,Desktop,Web Browser,,External,SSH,c56e3a51f76f195b996ffd34d9324a6382756590,420f0ca8-40bb-4b16-bccd-6196fb5652c5,FALSE,Non-Critical,09f83d1f-7847-4352-acdc-497b8115fe73,30,0.7456652750339957,Privilege Escalation,GCP,FALSE
45,Ransomware,Allowed,Critical,TRUE,,Router,Unknown,,Internal,FTP,c4d373352d317c7c9f7019166754b72f5a30299b,b978d325-fd8d-4b17-9fed-509af26aa110,TRUE,Critical,f24baee2-92d4-437c-9c2c-1f05a180a654,83,0.608297424,Initial Access,Azure,TRUE
46,Ransomware,Blocked,Critical,FALSE,,Router,Mail,,Internal,HTTPS,d39e6c6f0b6e25e545d5fdfeb90f3de0ac691f7a,2c2adc28-6e06-4306-8ac8-46768019bf6e,TRUE,Important,276f162f-83a5-407a-9530-c15a2f512034,110,0.3125235711418678,Persistence,GCP,FALSE
47,Ransomware,Allowed,Critical,TRUE,,Desktop,Database,,Internal,FTP,680286838e259343cb58d2e3a776c4db05abe779,77774df4-cf4c-4e82-a0ab-f951a7550139,FALSE,Critical,f9d7f21a-3ce6-4f3d-84d9-b9d77bd7bc36,55,0.15473017585826143,Privilege Escalation,AWS,TRUE
48,DDoS,Allowed,High,FALSE,,Desktop,Web Browser,,External,HTTPS,54d1aeb6461a39c2fee8140f209cef6fcb8d916d,656af95d-4ac1-4db1-9be7-f045493a3d41,TRUE,Non-Critical,d1c26d52-d29c-4509-80a7-6d3a1db4d4ef,103,0.069585421,Initial Access,,TRUE
49,None,Blocked,Low,FALSE,,Router,Unknown,,Internal,SSH,c9be86712c1728aafc9078d04fa3673449cb6568,e48e9bd5-d3de-4be9-ac05-8e8e4bb19ca6,FALSE,Non-Critical,0d05e2d5-f7b0-4e72-a8fe-b59f95e5ba65,114,0.41418373788272467,Execution,Azure,TRUE
50,DDoS,Blocked,High,FALSE,,Desktop,Web Browser,,External,SSH,ec5c2364ec3d6a76f79bcc2d80a50137f9ef721e,21337ef6-083f-42c5-b363-4d247de11871,FALSE,Non-Critical,7afe977e-8a43-4215-a6e2-306121ee3501,111,0.1756948018758423,Privilege Escalation,Azure,TRUE
51,Phishing,Blocked,Critical,TRUE,,Desktop,FTP,,Internal,SSH,f1557563fab3096a56415daae84b38185f42ab48,607e950f-44f3-4bef-884e-70dbf36d9dcf,FALSE,Critical,1d717990-2d3c-4b41-9864-e16e4814951d,112,0.8444843598146969,Execution,GCP,FALSE
52,Phishing,Blocked,Medium,TRUE,,Mobile Device,SSH,,External,SSH,0319c77f283e099cb7d161af420e7084bbf87497,57eca046-8590-4404-8ae6-3fc595f87288,TRUE,Non-Critical,3d7cfa34-09e9-4357-a41a-d4632d7a5c29,40,0.760215296,Initial Access,,TRUE
53,Ransomware,Blocked,Critical,FALSE,,Unknown,SSH,,Internal,FTP,ea6ff679e54a5738a586bed7a081e266baca8080,b27afe83-8d27-43bb-81bb-85232a8bc811,TRUE,Important,6743e6d3-f502-4568-b0db-4d2efe84ee97,19,0.31040785060631093,Privilege Escalation,,TRUE
54,Exploit,Allowed,Medium,TRUE,,Router,Web Browser,,Internal,FTP,865cf06026b4f8b98cf6da9f365bd1be49982a74,7e0608e5-90c0-4de1-9473-523fb9748b58,TRUE,Non-Critical,0c07381d-229e-486e-8e8c-d5c5bbf73c4b,45,0.039142126,Privilege Escalation,AWS,FALSE
55,Exploit,Allowed,High,FALSE,,Unknown,Unknown,,External,HTTPS,89928aa05052d3cf799af31315914409662e62d1,da5f28d5-9221-412b-b32c-b11c6986bb28,FALSE,Critical,0806265b-f500-4534-a020-91111892ffbd,37,0.9167464550571202,Persistence,GCP,FALSE
56,Malware,Allowed,High,TRUE,,Mobile Device,SSH,,Internal,SSH,53e78e753210acb17dde661a1110e91f38bf66cd,82640323-4536-4fa5-b2c7-65958d6b8a20,TRUE,Critical,d503cd30-d10d-47b2-bfd7-dd1c8333ef4d,36,0.1549451729444048,Persistence,AWS,TRUE
57,Ransomware,Allowed,Medium,FALSE,,IoT Device,SSH,,Internal,HTTP,996bf1eb01701af9b52616ad176d810aac0936cd,4f40316c-c090-4e08-9a6a-45eff5c56ced,TRUE,Non-Critical,be845af7-5a2f-47d7-a834-917e760ebca7,62,0.3094678965627896,Privilege Escalation,,TRUE
58,Exploit,Blocked,Low,FALSE,,Server,FTP,,Internal,SSH,191f4e9f74a0855f0b1ba959c34b1187eebe37f0,ef8784a7-ac5b-4015-8f73-9cd8aab8a782,FALSE,Non-Critical,5fb55474-31a5-440e-9b12-704e51fbbc68,38,0.8310467186381858,Initial Access,AWS,TRUE
59,None,Allowed,Medium,TRUE,,Server,SSH,,Internal,FTP,82be90526d271cf5e692f755f48126717b69e3da,21ecf379-01ed-4d30-a672-fa52a4b6081e,TRUE,Non-Critical,0ae7286b-1658-4432-b394-fe9ff57fa8d3,121,0.4486014739822466,Initial Access,GCP,TRUE
60,Malware,Allowed,Low,TRUE,,Unknown,FTP,,Internal,HTTPS,8a04bcf243b039a634133bc7b6c0ff1569285eed,bb193813-c5b3-4d0f-a357-962f4f90bd45,FALSE,Critical,4cfcd296-ae4a-41ea-ada7-ce65a22464f8,91,0.24056423880654354,Privilege Escalation,Azure,TRUE
61,None,Blocked,High,TRUE,,Unknown,Unknown,,External,FTP,251ae973a43fc2fe884cd0645023a0ccc4fcbb62,cb928d9f-412a-4425-9eb3-d96bee4c50a4,FALSE,Critical,0b8cf042-5e6f-4d01-8966-8cb0a01df386,12,0.3522990461141895,Persistence,Azure,TRUE
62,Phishing,Allowed,Critical,FALSE,,Server,Unknown,,External,SSH,a27a193ea98fd00b53c2aa3d71c02ac320f19b26,ab2d56d2-be61-4400-bb01-605d62e3b854,FALSE,Important,e9abebb1-fff9-451a-b63a-e66e22678bb0,13,0.8657982770780576,Persistence,GCP,FALSE
63,Insider Threat,Allowed,Low,FALSE,,IoT Device,FTP,,Internal,HTTPS,7772c02502406305cde61dd285561f067cbca352,be1fda0f-9fec-48a4-a4a7-8a44ced0fe67,FALSE,Critical,003554cd-a80f-467d-b4d8-e089cb61154f,21,0.3279199053415598,Persistence,,FALSE
64,Insider Threat,Allowed,High,TRUE,,Server,FTP,,Internal,FTP,e96bae4ac3571afad7650349e4697eb6f7ac1b8e,18eeb5b6-53a8-405a-b3c3-76c6e2c8e8ac,TRUE,Critical,ea7d1d78-16d7-4965-a527-38e33373144a,18,0.23599538042035229,Persistence,Azure,FALSE
65,Phishing,Allowed,Medium,TRUE,,Server,Unknown,,External,SSH,b9da4991bcfc89fc94326bc052b620d90414960f,107d9cbd-2247-406f-8f79-31b6b8be86a4,FALSE,Non-Critical,250ed3c3-2b6d-4640-9cad-96a496c5f25e,100,0.9135425058131866,Initial Access,Azure,FALSE
66,None,Allowed,High,TRUE,,IoT Device,Database,,Internal,SSH,06369155aa64c07abb967481b962b15b0614878f,b4244307-b23e-4d0d-a199-0f0b2e5b1944,FALSE,Critical,7dc7fe40-939d-4a9e-991e-b09e5311c2a9,45,0.7936963838450027,Execution,GCP,TRUE
67,Phishing,Allowed,Critical,FALSE,,Router,Database,,External,SSH,becb84af59dfbc6f3393ab48ee2c2f6e549356ec,4ac3db8a-b130-4699-8b59-8e5aaf81c4eb,TRUE,Important,b7a3188d-81e3-4783-8bbc-e1b6909e9a78,19,0.4499744956629961,Persistence,GCP,TRUE
68,Exploit,Allowed,Low,FALSE,,Mobile Device,Unknown,,Internal,HTTPS,f2544a3dcf3e69156dec59428626ef5a6f72e291,a4da7eb9-e520-41e3-8f59-e52737e722a6,TRUE,Non-Critical,6fee73d6-fdef-496c-81b4-1118b395df1a,78,0.614428278,Initial Access,Azure,TRUE
69,None,Allowed,Low,FALSE,,Unknown,Database,,Internal,HTTP,490cd28a7300001ec3473c7e0f163412a8bc9b56,eaa00ba4-2e35-4257-b37f-7b0422f9287b,FALSE,Important,f25e52f2-273d-45a5-95b6-f27edafac85d,63,0.804688154,Privilege Escalation,,FALSE
70,DDoS,Allowed,Low,FALSE,,Mobile Device,Mail,,External,HTTP,70429a8cdc9b64dbba6c1a205ac7cdfb544e05dd,b52cf5f9-0505-4df0-bf10-c250db5dd457,FALSE,Important,63f42365-5a34-4cf3-92f5-916b7da86a27,64,0.1408776350081835,Initial Access,GCP,FALSE
71,Malware,Allowed,Critical,TRUE,,Mobile Device,Database,,Internal,HTTP,c906e71d91980209063940b0aba9bfb87d07f79d,b1739ea5-d5a7-4313-84ea-08b6a0ba982d,TRUE,Critical,945f933e-5203-45f0-896a-8be9c7cd8daf,73,0.4948942035251763,Privilege Escalation,Azure,FALSE
72,Exploit,Allowed,Low,FALSE,,IoT Device,Mail,,Internal,HTTPS,ac66f63b2c4c5c96831abe55143364f7a6ee2332,62837413-6596-403f-972d-eeb2daf7fbe2,TRUE,Critical,80bc6d51-7f39-4c81-a8f6-3ab4aec867db,25,0.39390371272860714,Persistence,,FALSE
73,Exploit,Blocked,High,FALSE,,Mobile Device,Mail,,Internal,HTTP,e48459bc593388e23245e61d919f6a9fadb3a25c,f5d65f1f-bacc-417d-ae15-5c6ffd507229,FALSE,Non-Critical,eb5d8f01-71a7-436f-9647-a77ae2249d41,126,0.7087398064354379,Persistence,Azure,FALSE
74,Exploit,Allowed,Medium,FALSE,,Mobile Device,Unknown,,External,FTP,34069f24f4d0e4694a2861ccf789ea4360b0bb87,3d43e2cd-50f6-434b-82b4-71b1b769a71d,TRUE,Non-Critical,633e8938-3611-419d-9a04-b460e58b6db3,29,0.19078432782692734,Privilege Escalation,GCP,FALSE
75,Exploit,Allowed,Critical,FALSE,,Desktop,FTP,,Internal,HTTP,13b60b46a2bfe230a795416b958705f8cb62d68d,72ce3c9c-4315-4b3e-8cf4-3348ca27db1f,FALSE,Non-Critical,b2497d59-3eb7-495e-bd62-df2f0cdda725,91,0.675868577,Persistence,GCP,FALSE
76,Exploit,Allowed,High,TRUE,,IoT Device,Unknown,,Internal,SSH,f69b8903a33f43a48360edd76ed66444d22b5eca,fca1d8c1-b775-4e62-9e44-8879265ea008,FALSE,Important,ff80bff7-6ca0-4d73-b9cc-23400a3e6b23,38,0.2904526519929356,Persistence,Azure,TRUE
77,DDoS,Blocked,Medium,TRUE,,Server,Web Browser,,Internal,SSH,b4dc9a4c41a0086fd59b471361719e87398bb3af,8123369c-84de-41e1-a6d3-5ed767b94654,FALSE,Non-Critical,ca6ce519-0892-4556-b983-bb392343e435,121,0.1005449047773479,Execution,,TRUE
78,DDoS,Allowed,Medium,TRUE,,Router,Mail,,External,HTTP,42b968a2666abe5fa0f690cbf9e002e1b438457d,b7f993bd-63b3-4e2f-9698-faf3136db555,FALSE,Critical,3ffb704e-7b92-4249-ae0f-261f994fbea5,3,0.29839221066208077,Initial Access,,FALSE
79,Insider Threat,Allowed,Medium,TRUE,,Unknown,SSH,,Internal,FTP,19c710e7cb677064b2706efe0e96383833401047,1c45c181-f8c3-4dff-a235-380b8fbcf1bf,TRUE,Critical,51cd99c2-d0ac-4fa4-a909-30b68d91da32,104,0.8269898252763096,Persistence,,TRUE
80,Phishing,Allowed,Medium,TRUE,,Unknown,Web Browser,,Internal,HTTP,2665a1dfb005fe3438ccbf5ecafd101584b9c25d,6cc76f3e-2cfd-4ca7-b78e-32216c206106,FALSE,Critical,d24633ff-ff38-4a85-aad4-d74e9951a3a0,104,0.6860736198911105,Persistence,AWS,TRUE
81,None,Blocked,Low,FALSE,,IoT Device,Unknown,,Internal,HTTP,c4c21ddb1fe6733f14f45b571898db65a80d1b6b,4a251fc0-81e0-47d0-a02d-d5cfcee2d093,TRUE,Non-Critical,3c93e6e9-c8ab-4a59-bb24-13d6be4df84c,29,0.061758048,Execution,AWS,TRUE
82,Ransomware,Blocked,Critical,FALSE,,Unknown,Web Browser,,Internal,FTP,5490450a999c605283d4a2de19ae9257f679d861,4adeeb56-c95e-415b-87a4-af7ff650ca91,FALSE,Critical,5e5177ef-8baa-4735-9f52-58854bb79afd,56,0.5783112650590354,Initial Access,AWS,FALSE
83,None,Allowed,Critical,TRUE,,Unknown,Unknown,,External,HTTPS,8edfcabe3dbf6620d6704751b95b3bd0c2413d96,0b90effa-0ce8-4cc9-9d31-75b5ac5b4a0d,FALSE,Critical,a8f2da83-57a8-43b5-8b9d-def55d39bdbd,46,0.992846776,Privilege Escalation,,TRUE
84,Phishing,Blocked,Low,TRUE,,Unknown,Mail,,External,HTTPS,f87bb69d3d9ef829e857612b9c342c72edb408c8,60b14e98-f743-4651-b0bb-7a5db916407d,TRUE,Critical,82abf22f-d7b3-4691-9668-a2f865f4eb51,18,0.10089671309250703,Initial Access,,FALSE
85,None,Allowed,High,TRUE,,Desktop,FTP,,External,SSH,21636972b3dc23b69aacf3816239ddce98d57bc7,d7a0677a-e391-4f15-9886-976f0c86ca8e,FALSE,Important,1fd15b5b-4219-4739-b252-1d55f72d1464,71,0.060957637106762164,Execution,Azure,FALSE
86,DDoS,Blocked,High,TRUE,,Router,Web Browser,,Internal,SSH,a5ee9a2a22981abf1bd5965b8ae4688da652dbfc,a0fe476c-6e30-4f8e-a11d-7bf7fb17c612,FALSE,Non-Critical,70358798-df12-4853-a62b-cb9f8921ebca,35,0.3884190488074609,Persistence,,TRUE
87,DDoS,Allowed,High,TRUE,,Mobile Device,FTP,,External,HTTPS,a1eb0b1d915d83d4529d267ace89f5f1318ab331,f2642d3d-bae5-4360-98bb-2147b60ad283,FALSE,Critical,b522f2a6-f526-4685-90e9-8ed05286bec7,53,0.39663205977623506,Execution,GCP,FALSE
88,DDoS,Allowed,High,FALSE,,Server,Database,,External,FTP,581eee987b53c48e8d2e485238befc6fff4cd585,4f55c953-a5d1-4ff0-944d-c9235d64c8e9,TRUE,Critical,243cae60-6dee-49eb-a5e9-3710e8d5e2c9,67,0.5533115635421741,Privilege Escalation,Azure,FALSE
